filename,prob_thresh,precision,recall,f1,leven dist
16757180552.csv,0.1,0.9976162097735399,0.33103565173173627,0.49711522144917697,2
16757180552.csv,0.2,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.3,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.4,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.5,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.6,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.7,0.9990994236311239,0.31340753714899144,0.47714076813900475,2
16757180552.csv,0.8,0.9969400244798041,0.09203909825413865,0.16852014689908448,2
16757180552.csv,0.85,0.9962490622655664,0.07503248771117012,0.13955443463640183,2
16757180552.csv,0.9,0.9962490622655664,0.07503248771117012,0.13955443463640183,2
16757182105.csv,0.1,1.0,0.3145940448612916,0.47861778484548934,5
16757182105.csv,0.2,1.0,0.3145940448612916,0.47861778484548934,5
16757182105.csv,0.3,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.4,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.5,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.6,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.7,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.8,1.0,0.31030001695011017,0.47363201241861064,5
16757182105.csv,0.85,1.0,0.08893157805525737,0.16333731126446327,5
16757182105.csv,0.9,1.0,0.07192496751228883,0.1341977651275564,5
16757183357.csv,0.1,1.0,0.3145940448612916,0.47861778484548934,7
16757183357.csv,0.2,1.0,0.3145940448612916,0.47861778484548934,7
16757183357.csv,0.3,1.0,0.3145940448612916,0.47861778484548934,7
16757183357.csv,0.4,1.0,0.31030001695011017,0.47363201241861064,7
16757183357.csv,0.5,1.0,0.31030001695011017,0.47363201241861064,7
16757183357.csv,0.6,1.0,0.31030001695011017,0.47363201241861064,7
16757183357.csv,0.7,1.0,0.31030001695011017,0.47363201241861064,7
16757183357.csv,0.8,1.0,0.31030001695011017,0.47363201241861064,7
16757183357.csv,0.85,1.0,0.08893157805525737,0.16333731126446327,7
16757183357.csv,0.9,1.0,0.07192496751228883,0.1341977651275564,7
16757185109.csv,0.1,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.2,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.3,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.4,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.5,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.6,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.7,1.0,0.31030001695011017,0.47363201241861064,9
16757185109.csv,0.8,1.0,0.08893157805525737,0.16333731126446327,9
16757185109.csv,0.85,1.0,0.07192496751228883,0.1341977651275564,9
16757185109.csv,0.9,1.0,0.07192496751228883,0.1341977651275564,9
167571869411.csv,0.1,1.0,0.3145940448612916,0.47861778484548934,11
167571869411.csv,0.2,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.3,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.4,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.5,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.6,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.7,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.8,1.0,0.31030001695011017,0.47363201241861064,11
167571869411.csv,0.85,1.0,0.07192496751228883,0.1341977651275564,11
167571869411.csv,0.9,1.0,0.07192496751228883,0.1341977651275564,11
